num_neurons,membrane_threshold,currents_period,external_current,number_of_external_current,leak_coefficient,simulation_duration,refractory_period,guessed_critical_weight,observed_critical_synaptic_mean_weight,theoretical_critical_synaptic_mean_weight,error
1000,120.0,1,6.5,10,0.0001,2000,1,0.5,0.13154687647127558,0.1201071071071071,0.08696344353464333
1000,130.0,1,6.5,10,0.0001,2000,1,0.5,0.15515360790603763,0.13011711711711713,0.1613658304619176
1000,140.0,1,6.5,10,0.0001,2000,1,0.5,0.16914956944864232,0.14012712712712713,0.17157857638134316
1000,150.0,1,6.5,10,0.0001,2000,1,0.5,0.16713667115639805,0.15013713713713714,0.10171037810938334
1000,160.0,1,6.5,10,0.0001,2000,1,0.5,0.190860137526687,0.16014714714714715,0.1609188318605577
1000,170.0,1,6.5,10,0.0001,2000,1,0.5,0.2008038518978243,0.17015715715715715,0.1526200541026534
1000,180.0,1,6.5,10,0.0001,2000,1,0.5,0.21914925830678053,0.18016716716716716,0.17787918353364218
1000,190.0,1,6.5,10,0.0001,2000,1,0.5,0.2212068346087032,0.19017717717717716,0.14027440646856573
1000,200.0,1,6.5,10,0.0001,2000,1,0.5,0.2443410752919847,0.2001871871871872,0.18070595806306464
1000,10.0,1,7.0,10,0.0001,2000,1,0.5,0.011148877669709786,0.009995995995995996,0.10340786829566134
1000,20.0,1,7.0,10,0.0001,2000,1,0.5,0.02284234083186098,0.020006006006006005,0.12417005974706385
1000,30.0,1,7.0,10,0.0001,2000,1,0.5,0.032311717202141786,0.030016016016016014,0.0710485664306817
1000,40.0,1,7.0,10,0.0001,2000,1,0.5,0.04414967429017076,0.04002602602602603,0.09340155574064564
1000,50.0,1,7.0,10,0.0001,2000,1,0.5,0.052218140211231626,0.05003603603603604,0.04178823999415886
1000,60.0,1,7.0,10,0.0001,2000,1,0.5,0.07028517049344124,0.06004604604604605,0.1456797269681614
1000,70.0,1,7.0,10,0.0001,2000,1,0.5,0.08349660574518775,0.07005605605605605,0.16097121037649278
1000,80.0,1,7.0,10,0.0001,2000,1,0.5,0.09625814271162987,0.08006606606606606,0.16821513681260225
1000,90.0,1,7.0,10,0.0001,2000,1,0.5,0.10760143794683337,0.09007607607607607,0.16287293371875483
1000,100.0,1,7.0,10,0.0001,2000,1,0.5,0.10771073322264567,0.10008608608608609,0.07078818339114727
1000,110.0,1,7.0,10,0.0001,2000,1,0.5,0.13440828058943496,0.1100960960960961,0.18088308537777625
1000,120.0,1,7.0,10,0.0001,2000,1,0.5,0.14191818267235531,0.1201061061061061,0.1536947285789762
1000,130.0,1,7.0,10,0.0001,2000,1,0.5,0.15012353828768493,0.13011611611611612,0.13327305231261044
1000,140.0,1,7.0,10,0.0001,2000,1,0.5,0.16993257607837345,0.14012612612612613,0.17540162480971566
1000,150.0,1,7.0,10,0.0001,2000,1,0.5,0.1728934509269989,0.15013613613613613,0.1316262395645722
1000,160.0,1,7.0,10,0.0001,2000,1,0.5,0.18205467008512508,0.16014614614614614,0.12034035671117337
1000,170.0,1,7.0,10,0.0001,2000,1,0.5,0.2052271936839045,0.17015615615615615,0.1708888422543337
1000,180.0,1,7.0,10,0.0001,2000,1,0.5,0.22005586766391652,0.18016616616616615,0.18127079237292817
1000,190.0,1,7.0,10,0.0001,2000,1,0.5,0.22942105662647508,0.19017617617617616,0.17106049909880014
1000,200.0,1,7.0,10,0.0001,2000,1,0.5,0.24237446569563015,0.2001861861861862,0.1740623930345175
1000,10.0,1,7.5,10,0.0001,2000,1,0.5,0.011208714909798636,0.009994994994994994,0.10828359223791209
1000,20.0,1,7.5,10,0.0001,2000,1,0.5,0.023608442603356004,0.020005005005005006,0.15263343113699332
1000,30.0,1,7.5,10,0.0001,2000,1,0.5,0.0338884453844209,0.030015015015015016,0.11429944116547074
1000,40.0,1,7.5,10,0.0001,2000,1,0.5,0.04614882471452069,0.04002502502502502,0.13269676372860736
1000,50.0,1,7.5,10,0.0001,2000,1,0.5,0.05736008030000457,0.050035035035035036,0.12770284188338124
1000,60.0,1,7.5,10,0.0001,2000,1,0.5,0.06886622408211786,0.06004504504504504,0.12809151590123796
1000,70.0,1,7.5,10,0.0001,2000,1,0.5,0.08228599287518268,0.07005505505505506,0.14863936610305453
1000,80.0,1,7.5,10,0.0001,2000,1,0.5,0.09531442017276345,0.08006506506506507,0.15999001074609653
1000,90.0,1,7.5,10,0.0001,2000,1,0.5,0.0964737216847333,0.09007507507507508,0.0663252800650562
1000,100.0,1,7.5,10,0.0001,2000,1,0.5,0.11196550166205946,0.1000850850850851,0.10610783143572651
1000,110.0,1,7.5,10,0.0001,2000,1,0.5,0.1328873924885835,0.1100950950950951,0.17151587495741186
1000,120.0,1,7.5,10,0.0001,2000,1,0.5,0.14030411694490189,0.12010510510510511,0.1439659240200986
1000,130.0,1,7.5,10,0.0001,2000,1,0.5,0.15811999682792036,0.13011511511511512,0.17711157522525464
1000,140.0,1,7.5,10,0.0001,2000,1,0.5,0.16439840214520088,0.14012512512512512,0.14764910548605562
1000,150.0,1,7.5,10,0.0001,2000,1,0.5,0.16285166246658853,0.15013513513513513,0.0780865674862999
1000,160.0,1,7.5,10,0.0001,2000,1,0.5,0.19254034359687167,0.16014514514514513,0.1682514835413064
1000,170.0,1,7.5,10,0.0001,2000,1,0.5,0.20244131855276715,0.17015515515515514,0.15948406001513218
1000,180.0,1,7.5,10,0.0001,2000,1,0.5,0.2189341260678231,0.18016516516516515,0.1770804835178952
1000,190.0,1,7.5,10,0.0001,2000,1,0.5,0.2295819851640418,0.19017517517517515,0.1716459153391741
